timestep,K2064010,V4145210,V5004030,V5015210
0,0.26599973,-1.2009791,-2.5092423,5.228824
1,0.28553098,-1.0066389,-2.3112109,5.166936
2,0.42858207,-1.119766,-2.1439226,4.9822183
3,0.37698802,-1.0001343,-1.8520912,4.798977
4,0.05959357,-1.0242103,-1.9121614,4.816027
5,0.059020232,-1.0238072,-1.9100946,4.8168974
6,0.14384502,-0.92543465,-1.7573293,4.910248
7,0.42364526,-1.0163488,-1.7350417,4.806643
8,0.18175888,-0.88218,-1.723432,4.943838
9,0.19965309,-0.8806107,-1.7241782,4.9505367
10,0.3935634,-1.0145743,-1.7546401,4.808478
11,0.3790481,-0.5518246,-1.4908174,5.049726
12,0.17902653,-0.5269429,-1.5861117,4.9874153
13,0.77190804,-0.714984,-2.2774622,5.3695254
14,0.31724972,-0.44277883,-1.7891389,5.065277
15,0.22098161,-0.7115898,-1.4937171,5.6339684
16,0.17823793,-0.7350579,-1.5740604,5.531912
17,0.044415902,-0.38864258,-1.5791713,4.9491696
18,0.06707733,-1.0054336,-1.8860801,4.8307285
19,0.06765539,-1.0035962,-1.8837351,4.832779
20,0.06831389,-1.0008675,-1.8845369,4.833334
21,0.069177516,-1.0011519,-1.8841599,4.83341
22,0.06857223,-1.0010157,-1.8820361,4.832498
23,0.06849298,-1.0007855,-1.8820378,4.8338566
24,0.06833743,-1.0003101,-1.8817707,4.833002
25,0.068876,-0.99976236,-1.8811916,4.8333893
26,0.068773635,-0.9988298,-1.879983,4.8330035
27,0.066503935,-0.99864936,-1.8805324,4.8356895
28,0.06739109,-0.9983372,-1.8800516,4.834707
29,0.066141576,-0.9985127,-1.8791751,4.83517
30,0.15189284,-0.89820534,-1.7222182,4.926413
31,0.17582871,-0.8711358,-1.6958016,4.9493594
32,0.19170773,-0.8603373,-1.6893668,4.955958
33,0.20606369,-0.8578227,-1.6941361,4.960766
34,0.21549363,-0.85556597,-1.7000732,4.9642954
35,0.2233053,-0.8543794,-1.704382,4.965571
36,0.2236105,-0.8564308,-1.7053399,4.965689
37,0.21612065,-0.8589356,-1.7000589,4.9651933
38,0.20330574,-0.8619382,-1.6935753,4.962585
39,0.18716289,-0.8637457,-1.6871554,4.960982
40,0.17391394,-0.8738584,-1.6936051,4.9545217
41,0.15143806,-0.9016357,-1.7214874,4.934362
42,0.067736834,-1.0033938,-1.8823824,4.8471465
43,0.067577966,-1.003179,-1.8822888,4.846239
44,0.06748548,-1.0021029,-1.8817005,4.8467393
45,0.06779457,-1.0017344,-1.8811727,4.847012
46,0.06792775,-1.0015572,-1.8806605,4.8469563
47,0.06677402,-1.0026642,-1.8805665,4.847359
48,0.06690992,-1.0018731,-1.8812412,4.8482385
49,0.06721845,-1.0027567,-1.88027,4.848581
50,0.0669098,-1.0018884,-1.8803982,4.848612
51,0.066692,-1.0001154,-1.879834,4.84857
52,0.06535664,-1.0011665,-1.8784657,4.8488846
53,0.06659854,-1.0008073,-1.8774885,4.848744
54,0.1416714,-0.9076449,-1.7242845,4.930283
55,0.15813237,-0.8777373,-1.6942686,4.954156
56,0.16815077,-0.86658925,-1.6862698,4.9636197
57,0.18030256,-0.8612907,-1.6829656,4.968162
58,0.18866007,-0.8591133,-1.6878911,4.972002
59,0.19387724,-0.85940355,-1.6897231,4.971555
60,0.19294588,-0.86058575,-1.6896731,4.972871
61,0.18666275,-0.8606954,-1.6871077,4.9710593
62,0.17907815,-0.8614381,-1.6840502,4.972587
63,0.16670321,-0.8705248,-1.6859471,4.9689136
64,0.1592269,-0.88224363,-1.6930894,4.960937
65,0.13730659,-0.9101091,-1.7244867,4.9401193
66,0.06920796,-1.0045347,-1.8794597,4.857819
67,0.069220275,-1.0035917,-1.8792547,4.857119
68,0.06993255,-1.0035564,-1.8772923,4.8580647
69,0.06855046,-1.0031191,-1.8771852,4.8587813
